Data Source,World Development Indicators,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,150000000,344000000,377000000,660000000,521000000,235000000,288000000,116000000,176000000,284000000,240000000
Angola,AGO,29000000,20000000, , , ,31000000,2000000,47000000,142000000,108000000,75000000
Albania,ALB, , , , ,15000000,7000000,7000000,7000000, ,4000000,1000000
Arab World,ARB,4158000000,4053000000,5258000000,7420000000,6029000000,6902000000,7396000000,9828000000,12658000000,12159000000,10693000000
United Arab Emirates,ARE,753000000,561000000,607000000,1200000000,1119000000,2275000000,791000000,1266000000,1193000000,1074000000,1101000000
Argentina,ARG,23000000,11000000,11000000,15000000,3000000,12000000,7000000,21000000,17000000,49000000,42000000
Armenia,ARM, ,46000000,52000000,5000000, ,16000000, , ,110000000,18000000, 
